element_id,player_name,round,is_home,opponent_difficulty,prev_minutes_avg,prev_points_avg,prev_xg_avg,prev_xa_avg,prev_ict_avg,prev_goals_sum,prev_assists_sum,prev_starts_rate,season_points_before,total_points
7,Calafiori,5,1,4,72.75,8.25,0.35750000000000004,0.01,4.925,1.0,2.0,1.0,33.0,2
7,Calafiori,6,0,4,76.2,7.0,0.314,0.018,4.5200000000000005,1.0,2.0,1.0,35.0,1
7,Calafiori,7,1,2,75.8,4.6,0.152,0.024,3.66,0.0,2.0,1.0,36.0,6
7,Calafiori,8,0,3,78.0,3.2,0.10800000000000001,0.026000000000000002,2.7,0.0,0.0,1.0,42.0,6
7,Calafiori,9,1,3,78.0,4.0,0.09,0.028000000000000004,2.8400000000000007,0.0,0.0,1.0,48.0,6
7,Calafiori,10,0,2,80.8,4.2,0.10400000000000001,0.03,2.6400000000000006,0.0,0.0,1.0,54.0,6
7,Calafiori,11,0,3,77.0,5.0,0.08800000000000001,0.022000000000000002,2.7800000000000002,0.0,0.0,1.0,60.0,1
7,Calafiori,12,1,3,81.2,5.0,0.11400000000000002,0.024,3.2600000000000007,0.0,0.0,1.0,61.0,2
7,Calafiori,13,0,3,84.4,4.2,0.094,0.026000000000000002,2.9600000000000004,0.0,0.0,1.0,63.0,0
7,Calafiori,14,1,3,75.4,3.0,0.08600000000000001,0.024,2.6800000000000006,0.0,0.0,0.8,63.0,7
7,Calafiori,15,0,3,77.2,3.2,0.10800000000000001,0.026000000000000002,3.5800000000000005,0.0,0.0,0.8,70.0,1
8,J.Timber,4,1,2,57.333333333333336,8.666666666666666,0.3,0.03333333333333333,7.8999999999999995,2.0,1.0,0.6666666666666666,26.0,8
8,J.Timber,5,1,4,65.5,8.5,0.30000000000000004,0.030000000000000002,7.625,2.0,1.0,0.75,34.0,1
8,J.Timber,6,0,4,68.2,7.0,0.24000000000000005,0.034,6.88,2.0,1.0,0.8,35.0,2
8,J.Timber,7,1,2,82.4,7.4,0.346,0.076,8.580000000000002,2.0,1.0,1.0,37.0,11
8,J.Timber,8,0,3,87.8,4.8,0.21600000000000003,0.072,5.92,0.0,1.0,1.0,48.0,6
8,J.Timber,9,1,3,87.8,5.6,0.198,0.092,6.32,0.0,1.0,1.0,54.0,6
8,J.Timber,10,0,2,87.8,5.2,0.138,0.096,5.58,0.0,1.0,1.0,60.0,6
8,J.Timber,11,0,3,90.0,6.2,0.176,0.088,5.279999999999999,0.0,1.0,1.0,66.0,1
8,J.Timber,12,1,3,90.0,6.0,0.06999999999999999,0.052000000000000005,4.0600000000000005,0.0,1.0,1.0,67.0,5
8,J.Timber,13,0,3,90.0,4.8,0.13799999999999998,0.054000000000000006,3.7399999999999998,0.0,1.0,1.0,72.0,2
8,J.Timber,14,1,3,90.0,4.0,0.198,0.03,3.02,0.0,1.0,1.0,74.0,1
8,J.Timber,15,0,3,81.2,3.0,0.198,0.022,2.54,0.0,1.0,0.8,75.0,3
9,Kiwior,4,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
9,Kiwior,5,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
9,Kiwior,6,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
9,Kiwior,7,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
9,Kiwior,8,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
9,Kiwior,9,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
9,Kiwior,10,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
