element_id,player_name,round,fixture,was_home,minutes,goals_scored,assists,clean_sheets,goals_conceded,yellow_cards,red_cards,bonus,bps,influence,creativity,threat,ict_index,expected_goals,expected_assists,expected_goals_conceded,total_points
5,Gabriel,6,58,False,90,1,0,0,1,0,0,3,34,76.8,2.5,33.0,11.2,0.22,0.02,0.61,13
5,Gabriel,7,61,True,90,0,0,1,0,0,0,1,33,24.6,2.0,2.0,2.9,0.0,0.03,0.49,9
5,Gabriel,8,74,False,90,0,1,1,0,0,0,3,33,33.4,11.6,15.0,6.0,0.24,0.02,0.44,12
5,Gabriel,9,81,True,90,0,0,1,0,0,0,3,32,27.2,11.2,9.0,4.7,0.1,0.03,0.47,9
5,Gabriel,10,92,False,90,0,1,1,0,1,0,2,39,36.0,11.3,4.0,5.1,0.0,0.52,0.42,12
5,Gabriel,11,108,False,90,0,0,0,2,0,0,0,6,21.4,15.4,4.0,4.1,0.0,0.03,0.44,1
5,Gabriel,12,111,True,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5,Gabriel,13,123,False,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5,Gabriel,14,131,True,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5,Gabriel,15,141,False,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
6,Saliba,1,9,False,90,0,0,1,0,0,0,1,25,31.4,0.1,0.0,3.2,0.0,0.0,1.52,9
6,Saliba,2,11,True,90,0,0,1,0,0,0,0,27,18.4,2.1,2.0,2.3,0.0,0.01,0.17,6
6,Saliba,3,25,False,4,0,0,0,0,0,0,0,4,3.0,0.0,0.0,0.3,0.0,0.0,0.0,1
6,Saliba,4,31,True,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
6,Saliba,5,41,True,90,0,0,0,1,0,0,0,15,22.0,3.0,4.0,2.9,0.13,0.02,0.89,2
6,Saliba,6,58,False,45,0,0,0,0,0,0,0,8,5.4,11.8,2.0,1.9,0.0,0.07,0.2,1
6,Saliba,7,61,True,90,0,0,1,0,0,0,0,30,28.2,2.2,0.0,3.0,0.0,0.02,0.49,6
6,Saliba,8,74,False,90,0,0,1,0,0,0,0,26,17.4,2.8,2.0,2.2,0.0,0.05,0.44,6
6,Saliba,9,81,True,45,0,0,0,0,0,0,0,10,7.4,1.5,0.0,0.9,0.0,0.02,0.08,1
6,Saliba,10,92,False,90,0,0,1,0,0,0,0,29,19.2,6.1,0.0,2.5,0.0,0.01,0.42,6
6,Saliba,11,108,False,90,0,0,0,2,0,0,0,4,17.2,4.5,6.0,2.8,0.16,0.03,0.44,1
6,Saliba,12,111,True,90,0,0,0,1,0,0,0,12,15.6,1.5,0.0,1.7,0.0,0.01,0.07,2
6,Saliba,13,123,False,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
6,Saliba,14,131,True,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
6,Saliba,15,141,False,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
7,Calafiori,1,9,False,71,1,0,1,0,1,0,2,33,36.2,2.1,35.0,7.3,0.91,0.01,0.87,13
7,Calafiori,2,11,True,63,0,2,1,0,0,0,1,38,38.0,21.4,22.0,8.1,0.39,0.01,0.17,13
7,Calafiori,3,25,False,90,0,0,0,1,0,0,0,9,9.8,1.9,11.0,2.3,0.13,0.01,0.52,2
7,Calafiori,4,31,True,67,0,0,1,0,1,0,0,16,5.4,12.6,2.0,2.0,0.0,0.01,0.1,5
7,Calafiori,5,41,True,90,0,0,0,1,0,0,0,7,3.6,6.2,19.0,2.9,0.14,0.05,0.89,2
7,Calafiori,6,58,False,69,0,0,0,1,1,0,0,0,3.6,16.8,10.0,3.0,0.1,0.04,0.53,1
7,Calafiori,7,61,True,74,0,0,1,0,0,0,0,26,8.8,5.4,19.0,3.3,0.17,0.02,0.36,6
7,Calafiori,8,74,False,90,0,0,1,0,0,0,0,26,12.6,8.0,9.0,3.0,0.04,0.02,0.44,6
7,Calafiori,9,81,True,81,0,0,1,0,0,0,0,26,4.6,3.8,2.0,1.0,0.07,0.02,0.46,6
7,Calafiori,10,92,False,71,0,0,1,0,0,0,0,33,16.0,3.3,17.0,3.6,0.06,0.01,0.02,6
7,Calafiori,11,108,False,90,0,0,0,2,0,0,0,-1,11.4,7.8,35.0,5.4,0.23,0.05,0.44,1
7,Calafiori,12,111,True,90,0,0,0,1,0,0,0,9,9.6,2.3,6.0,1.8,0.07,0.03,0.07,2
7,Calafiori,13,123,False,45,0,0,0,0,1,0,0,5,15.0,1.2,0.0,1.6,0.0,0.01,0.31,0
7,Calafiori,14,131,True,90,0,0,1,0,0,0,1,33,24.8,4.4,26.0,5.5,0.18,0.03,0.35,7
7,Calafiori,15,141,False,85,0,0,0,1,1,0,0,2,6.6,3.1,6.0,1.6,0.0,0.01,1.36,1
8,J.Timber,1,9,False,19,0,0,0,0,1,0,0,-3,3.0,0.3,0.0,0.3,0.0,0.0,0.66,0
8,J.Timber,2,11,True,63,2,1,1,0,0,0,3,68,95.0,28.5,75.0,19.9,0.81,0.05,0.17,24
8,J.Timber,3,25,False,90,0,0,0,1,0,0,0,7,11.4,12.4,11.0,3.5,0.09,0.05,0.52,2
